Player Name,Instagram Ranking,#Instagram Followers,WTA Ranking,Country,Link to Profile
Serena Williams,1,"10,687,239",11,United States,https://www.instagram.com/serenawilliams/
Maria Sharapova,2,"3,488,916",27,Russia,https://www.instagram.com/mariasharapova/
Eugenie Bouchard,3,"1,953,129",80,CANADA,https://www.instagram.com/geniebouchard/
Caroline Wozniacki,4,"1,400,389",10,Denmark,https://www.instagram.com/carowozniacki
Venus Williams,5,"1,116,301",35,United States,https://www.instagram.com/venuswilliams/
Simona Halep,6,"1,033,746",3,Romania,https://www.instagram.com/simonahalep
Naomi Osaka,7,"883,273",1,Japan,https://www.instagram.com/naomiosakatennis
Garbiñe Muguruza,8,"704,731",15,Spain,https://www.instagram.com/garbimuguruza/
Angelique Kerber,9,"619,024",6,Germany,https://www.instagram.com/angie.kerber/
Victoria Azarenka,10,"608,325",48,Belarus,https://www.instagram.com/vichka35/
Monica Puig,11,"467,681",58,PUERTO RICO,https://www.instagram.com/monicaace93/
Petra Kvitová,12,"466,888",2,Czech Republic,https://www.instagram.com/petra.kvitova/
Dominika Cibulkova,13,"442,734",30,SLOVAKIA,https://www.instagram.com/domicibulkova/
Elina Svitolina,14,"421,055",7,Ukraine,https://www.instagram.com/elisvitolina/
Sloane Stephens,15,"359,384",4,United States,https://www.instagram.com/sloanestephens/
Karolina Pliskova,16,"336,303",5,Czech Republic,https://www.instagram.com/karolinapliskova
Kristina Mladenovic,17,"286,001",64,France,https://www.instagram.com/kristinamladenovic93/
Belinda Bencic,18,"241,029",45,Switzerland,https://www.instagram.com/belindabencic/
Camila Giorgi,19,"207,468",28,Italy,https://www.instagram.com/camila_giorgi_official/
Jeļena Ostapenko,20,"175,074",22,Latvia,https://www.instagram.com/jelena.ostapenko/
Madison Keys,21,"168,094",17,United States,https://www.instagram.com/madisonkeys/
Caroline Garcia,22,"138,358",19,France,https://www.instagram.com/carogarcia/
Daria Kasatkina,23,"120,319",14,Russia,https://www.instagram.com/kasatkina/
Julia Görges,24,"117,464",16,Germany,https://www.instagram.com/julia.goerges
Ons Jabeur,25,"115,021",56,TUNISIA,https://www.instagram.com/onsjabeur/
Timea Babos,26,"113,537",100,Hungary,https://www.instagram.com/timeababos/
Johanna Konta,27,"112,538",39,Great Britain,https://www.instagram.com/johannakonta
Daria Gavrilova,28,"109,197",47,Australia,https://www.instagram.com/daria_gav/
Andrea Petkovic,29,"107,233",68,Germany,https://www.instagram.com/andreapetkovici/
Donna Vekić,30,"106,800",25,Croatia,https://www.instagram.com/donnavekic/
Alizé Cornet,31,"106,694",51,France,https://www.instagram.com/alizecornet/
Sorana Cirstea,32,"95,897",92,Romania,https://www.instagram.com/soranacirstea/
Kristyna Pliskova,33,"88,324",90,Czech Republic,https://www.instagram.com/kristynapliskova/
Katie Boulter,34,"85,184",83,Great Britain,https://www.instagram.com/katiecboulter/
Maria Sakkari,35,"85,127",38,Greece,https://www.instagram.com/sakkattack7/
Anastasia Pavlyuchenkova,36,"79,503",32,Russia,https://www.instagram.com/nastia_pav/
Barbora Strycova,37,"73,215",49,Czech Republic,https://www.instagram.com/barborastrycova/
Aryna Sabalenka,38,"70,934",9,Belarus,https://www.instagram.com/sabalenka_aryna/
Ajla Tomljanovic,39,"68,084",41,AUSTRALIA,https://www.instagram.com/ajlatom/
Danielle Collins,40,"59,514",23,United States,https://www.instagram.com/danimalcollins/
Carla Suárez Navarro,41,"56,408",26,Spain,https://www.instagram.com/carlasuareznava/
Ashleigh Barty,42,"54,151",13,Australia,https://www.instagram.com/ashbar96/
Amanda Anisimova,43,"52,815",59,United States,https://www.instagram.com/amandaanisimova/
Ekaterina Makarova,44,"51,725",66,Russia,https://www.instagram.com/katemakarova1/
Kiki Bertens,45,"49,014",8,Netherlands,https://www.instagram.com/kikibertens/
Anett Kontaveit,46,"45,223",20,Estonia,https://www.instagram.com/anett_kontaveit/
Yulia Putintseva,47,"42,885",43,Kazakhstan,https://www.instagram.com/yulia_putintseva/
Zarina Diyas,48,"36,385",96,Kazakhstan,https://www.instagram.com/zarinadiyas/
Dayana Yastremska,49,"34,872",34,Ukraine,https://www.instagram.com/dayana_yastremskay/
Aliaksandra Sasnovich,50,"28,305",33,Belarus,https://www.instagram.com/aliaksandrasasnovich/
Anastasia Potapova,51,"28,050",87,Russia,https://www.instagram.com/anapotapovaa/
Elise Mertens,52,"27,986",21,Belgium,https://www.instagram.com/mertenselise/
Lesia Tsurenko,53,"26,144",24,Ukraine,https://www.instagram.com/lesiatsurenko/
Katerina Siniakova,54,"25,792",44,Czech Republic,https://www.instagram.com/siniakovakaterina/
Samantha Stosur,55,"25,316",73,Australia,https://www.instagram.com/samstosur/
Bianca Andreescu,56,"23,808",70,CANADA,https://www.instagram.com/biancaandreescu_/
Mandy Minella,57,"20,511",99,Luxembourg,https://www.instagram.com/mandyminella/
Mihaela Buzarnescu,58,"20,441",29,Romania,https://www.instagram.com/miki.buzarnescu
Magdalena Rybarikova,59,"18,991",69,SLOVAKIA,https://www.instagram.com/magdalena_rybarikova/
Sofia Kenin,60,"18,864",37,United States,https://www.instagram.com/sonyakeninn/
Kirsten Flipkens,61,"17,755",53,Belgium,https://www.instagram.com/kirstenflipkens/
Bernarda Pera,62,"17,435",82,United States,https://www.instagram.com/bernardapera/
Anna Karolina Schmiedlova,63,"16,551",61,SLOVAKIA,https://www.instagram.com/akschmiedlova
Anastasija Sevastova,64,"15,864",12, Latvia,https://www.instagram.com/nastysevastova/
Aleksandra Krunic,65,"14,949",57,SERBIA,https://www.instagram.com/alexkrunic/
Magda Linette,66,"14,478",89,POLAND,https://www.instagram.com/magdalinette/
Marketa Vondrousova,67,"14,368",72,Czech Republic,https://www.instagram.com/marketavondrousova
Irina-Camelia Begu,68,"12,291",75,Romania,https://www.instagram.com/irina_camy15
Lara Arruabarrena,69,"12,048",94,Spain,https://www.instagram.com/laraarrua
Veronika Kudermetova,70,"10,931",98,Russia,https://www.instagram.com/v.kudermetova/
Margarita Gasparyan,71,"10,187",77,Russia,https://www.instagram.com/margarita_gasparyan01/
Pauline Parmentier,72,"9,707",55,France,https://www.instagram.com/paulineparmentier86/
Vera Zvonareva,73,"8,615",76,Russia,https://www.instagram.com/vera.zvonareva/
Polona Hercog,74,"8,504",88,Slovenia,https://www.instagram.com/hercogpolona/
Johanna Larsson,75,"8,086",71,Sweden,https://www.instagram.com/johannalarsson111
Petra Martic,76,"7,632",36,Croatia,https://www.instagram.com/thepetramartic/
Alison Riske,77,"7,496",52,United States,https://www.instagram.com/riske4rewards/
Wang Qiang,78,"6,877",18,CHINA,https://www.instagram.com/qiang.wang92
Taylor Townsend,79,"5,423",91,United States,https://www.instagram.com/tay_taytownsend
